session_id,search_id,search_time,session_starting_time,booking_id
67,52,2018-10-13 11:16:27.735000,0,70.0
67,138,2018-10-13 11:38:20.845000,0,0.0
67,159,2018-10-13 11:35:03.601000,0,0.0
67,107,2018-10-13 11:36:02.361000,0,0.0
67,108,2018-10-13 11:44:06.850000,0,0.0
67,145,2018-10-13 11:36:10.271000,0,0.0
67,42,2018-10-13 11:35:43.488000,0,0.0
30,290,0,0,255.0
165,437,0,2021-10-21 05:42:58,172.0
251,978,2020-03-21 06:38:49.374000,0,37.0
119,1091,0,2022-03-11 20:40:33,41.0
119,988,0,2022-03-11 20:40:33,0.0
256,868,2020-02-15 16:10:41.135000,2020-02-15 14:29:45,0.0
9,478,2020-02-15 07:23:00.386000,0,235.0
9,856,2020-02-15 07:26:34.928000,0,0.0
256,376,2020-02-15 15:56:29.698000,2020-02-15 14:29:45,0.0
256,830,2020-02-15 15:50:48.292000,2020-02-15 14:29:45,0.0
256,849,2020-02-15 16:00:32.280000,2020-02-15 14:29:45,0.0
256,259,2020-02-15 16:00:23.802000,2020-02-15 14:29:45,0.0
256,701,2020-02-15 14:30:09.449000,2020-02-15 14:29:45,0.0
256,796,2020-02-15 16:10:13.804000,2020-02-15 14:29:45,0.0
256,284,2020-02-15 14:31:22.690000,2020-02-15 14:29:45,0.0
256,441,2020-02-15 15:41:44.523000,2020-02-15 14:29:45,0.0
256,284,2020-02-15 14:31:22.690000,2020-02-15 14:29:45,205.0
264,393,0,2021-10-10 12:45:16,257.0
262,525,0,0,335.0
262,341,0,0,0.0
262,256,0,0,0.0
262,887,0,0,0.0
323,424,2020-03-20 09:47:53.694000,0,0.0
323,568,2020-03-20 09:50:17.017000,0,225.0
323,568,2020-03-20 09:50:17.017000,0,225.0
53,408,0,0,0.0
226,363,0,2022-07-01 08:22:54,0.0
226,409,0,2022-07-01 08:22:54,0.0
118,92,2018-10-11 13:38:00.265000,0,0.0
118,62,2018-10-11 13:55:49.230000,0,0.0
118,181,2018-10-11 12:50:03.563000,0,0.0
118,40,2018-10-11 13:46:46.024000,0,0.0
118,1287,2018-10-11 13:19:27.336000,0,0.0
226,745,0,2022-07-01 08:22:54,0.0
118,69,2018-10-11 13:33:01.681000,0,0.0
118,1270,2018-10-11 12:56:23.733000,0,0.0
118,1255,2018-10-11 15:09:47.828000,0,0.0
118,20,2018-10-11 13:33:36.803000,0,0.0
118,10,2018-10-11 13:53:45.209000,0,0.0
118,1276,2018-10-11 14:53:34.161000,0,0.0
118,1268,2018-10-11 14:42:54.862000,0,0.0
118,55,2018-10-11 13:10:39.747000,0,0.0
118,38,2018-10-11 15:09:15.215000,0,0.0
118,120,2018-10-11 13:27:33.836000,0,0.0
118,126,2018-10-11 12:52:44.282000,0,0.0
118,11,2018-10-11 13:42:16.536000,0,0.0
118,84,2018-10-11 13:08:26.107000,0,0.0
118,30,2018-10-11 14:05:20.610000,0,0.0
118,1332,2018-10-11 14:33:35.885000,0,0.0
118,102,2018-10-11 13:46:05.313000,0,0.0
118,128,2018-10-11 13:04:59.069000,0,0.0
118,146,2018-10-11 13:42:58.115000,0,0.0
118,1312,2018-10-11 13:29:41.602000,0,0.0
118,1254,2018-10-11 13:37:30.884000,0,0.0
118,141,2018-10-11 15:14:12.956000,0,0.0
118,1354,2018-10-11 15:11:04.249000,0,0.0
118,71,2018-10-11 14:05:09.102000,0,0.0
